1938		Language:	English	Mean:	5.0		Standard Deviation:	2.72
1938		Language:	Français	Mean:	6.85		Standard Deviation:	1.12
1939		All Languages All		Mean:	5.72		Standard Deviation:	2.03
1939		Genre:	Action	Mean:	6.25		Standard Deviation:	0.79
1939		Genre:	Adventure	Mean:	5.85		Standard Deviation:	2.17
1939		Genre:	Comedy	Mean:	6.19		Standard Deviation:	1.6
1939		Genre:	Crime	Mean:	5.78		Standard Deviation:	1.67
1939		Genre:	Drama	Mean:	5.76		Standard Deviation:	2.14
1939		Genre:	History	Mean:	5.8		Standard Deviation:	1.93
1939		Genre:	Mystery	Mean:	6.12		Standard Deviation:	1.0
1939		Genre:	Romance	Mean:	5.61		Standard Deviation:	2.43
1939		Genre:	Thriller	Mean:	6.25		Standard Deviation:	0.79
1939		Genre:	Western	Mean:	4.66		Standard Deviation:	2.89
1939		Language:	English	Mean:	5.76		Standard Deviation:	1.97
1940		All Languages All		Mean:	5.78		Standard Deviation:	2.09
1940		Genre:	Action	Mean:	6.29		Standard Deviation:	1.04
1940		Genre:	Adventure	Mean:	6.85		Standard Deviation:	0.86
1940		Genre:	Comedy	Mean:	6.47		Standard Deviation:	1.48
1940		Genre:	Crime	Mean:	6.66		Standard Deviation:	0.6
1940		Genre:	Drama	Mean:	5.65		Standard Deviation:	2.13
1940		Genre:	Music	Mean:	5.46		Standard Deviation:	2.02
1940		Genre:	Mystery	Mean:	6.57		Standard Deviation:	0.99
1940		Genre:	Romance	Mean:	5.77		Standard Deviation:	2.12
1940		Genre:	Thriller	Mean:	6.61		Standard Deviation:	0.96
1940		Genre:	Western	Mean:	5.31		Standard Deviation:	2.0
1940		Language:	English	Mean:	5.85		Standard Deviation:	2.04
1941		All Languages All		Mean:	5.88		Standard Deviation:	1.86
1941		Genre:	Comedy	Mean:	5.98		Standard Deviation:	1.85
1941		Genre:	Crime	Mean:	4.99		Standard Deviation:	2.38
1941		Genre:	Drama	Mean:	5.89		Standard Deviation:	1.95
1941		Genre:	Music	Mean:	5.58		Standard Deviation:	2.05
1941		Genre:	Mystery	Mean:	6.33		Standard Deviation:	0.78
1941		Genre:	Romance	Mean:	5.83		Standard Deviation:	1.88
1941		Genre:	Thriller	Mean:	6.34		Standard Deviation:	0.76
1941		Genre:	War	Mean:	6.21		Standard Deviation:	1.1
1941		Genre:	Western	Mean:	4.47		Standard Deviation:	2.52
1941		Language:	English	Mean:	5.85		Standard Deviation:	1.9
1942		All Languages All		Mean:	5.42		Standard Deviation:	2.43
1942		Genre:	Action	Mean:	5.54		Standard Deviation:	2.12
1942		Genre:	Adventure	Mean:	5.57		Standard Deviation:	2.02
1942		Genre:	Comedy	Mean:	5.38		Standard Deviation:	2.62
1942		Genre:	Crime	Mean:	4.75		Standard Deviation:	2.97
1942		Genre:	Drama	Mean:	5.67		Standard Deviation:	2.3
1942		Genre:	Music	Mean:	5.84		Standard Deviation:	2.22
1942		Genre:	Mystery	Mean:	5.94		Standard Deviation:	2.25
1942		Genre:	Romance	Mean:	5.37		Standard Deviation:	2.36
1942		Genre:	Thriller	Mean:	6.03		Standard Deviation:	1.85
1942		Genre:	War	Mean:	6.04		Standard Deviation:	1.92
1942		Language:	English	Mean:	5.23		Standard Deviation:	2.52
1943		All Languages All		Mean:	5.58		Standard Deviation:	2.25
1943		Genre:	Action	Mean:	5.2		Standard Deviation:	2.57
1943		Genre:	Adventure	Mean:	4.72		Standard Deviation:	2.89
1943		Genre:	Comedy	Mean:	5.53		Standard Deviation:	2.51
1943		Genre:	Drama	Mean:	6.07		Standard Deviation:	1.8
