The Good Shepherd,12/11/2006,85000000,59908565,-25091435,-124338.1318136769
I Still Know What You Did Last Summer,11/13/1998,65000000,40002112,-24997888,-152426.1463414634
The Adventurer: The Curse of the Midas Box,12/5/2013,25000000,6399,-24993601,-107246.11991469604
Free State of Jones,6/24/2016,50000000,25035950,-24964050,-103745.40784946058
Spanglish,12/17/2004,80000000,55041367,-24958633,-130879.04037755638
"\"一個人的武�?\"\"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters\"",10/31/2014,25000000,129115,-24870885,-105317.72044158187
Twisted,2/27/2004,50000000,25195000,-24805000,-132363.92742796158
Lay the Favorite,6/22/2012,26350000,1576687,-24773313,-108131.2984496124
Under Suspicion,9/24/2000,25000000,260562,-24739438,-142180.67816091955
Showgirls,9/22/1995,45000000,20350754,-24649246,-160372.4528301887
Money Train,11/21/1995,60000000,35431113,-24568887,-160057.89576547232
Dark Tide,3/28/2012,25000000,432274,-24567726,-106776.73903122758
Bandidas,1/18/2006,35000000,10496317,-24503683,-123319.99496728738
Without Limits,9/11/1998,25000000,777423,-24222577,-148059.76161369192
Flags of Our Fathers,10/18/2006,90000000,65900249,-24099751,-119601.74193548386
47 Ronin,12/6/2013,175000000,150962475,-24037525,-103143.65219331556
The Pebble and the Penguin,4/11/1995,28000000,3983912,-24016088,-158104.5951283739
Flight of the Phoenix,12/17/2004,45000000,21009180,-23990820,-125803.98531725224
Crossing Over,2/27/2009,25000000,1037335,-23962665,-112654.68315868158
Hollywood Homicide,6/9/2003,75000000,51142659,-23857341,-129871.2084921067
Blood Work,8/4/2002,50000000,26199517,-23800483,-131712.68954067517
Your Highness,4/8/2011,49900000,26121638,-23778362,-105725.77876979715
Intersection,1/21/1994,45000000,21355893,-23644107,-161173.1901840491
Jane Got a Gun,1/1/2016,25000000,1397284,-23602716,-99624.82905333536
The Flintstones in Viva Rock Vegas,4/28/2000,83000000,59468275,-23531725,-137211.22448979592
The Young and Prodigious T.S. Spivet,10/16/2013,33000000,9494789,-23505211,-100850.86819782983
Wind,9/11/1992,29000000,5519569,-23480431,-166174.3170559094
Gattaca,9/7/1997,36000000,12532777,-23467223,-145578.3064516129
The Order,9/5/2003,35000000,11560806,-23439194,-126561.52267818575
Solarbabies,11/26/1986,25000000,1579260,-23420740,-211952.39819004523
Space Truckers,3/1/1996,25000000,1614266,-23385734,-150197.39242132308
Angel Eyes,5/15/2001,53000000,29700000,-23300000,-131119.86494091165
Life or Something Like It,4/26/2002,40000000,16872671,-23127329,-128628.0812013348
Blood Ties,8/22/2013,25500000,2415472,-23084528,-98589.05227013568
Trapped,9/20/2002,30000000,6916869,-23083131,-127320.08273579701
Honky Tonk Freeway,8/21/1981,24000000,939423,-23060577,-247431.0836909871
Metro,1/16/1997,55000000,31987563,-23012437,-144188.20175438598
Freedomland,2/17/2006,37665000,14655628,-23009372,-115162.02202202202
Junior,11/22/1994,60000000,37000000,-23000000,-153640.61456245827
Passengers,9/26/2008,25000000,2000000,-23000000,-106199.75712577283
Chasing Liberty,1/9/2004,23000000,12,-22999988,-124190.00000000001
Man of Tai Chi,7/4/2013,25000000,2054941,-22945059,-98225.39341427079
A Troll in Central Park,10/7/1994,23000000,71368,-22928632,-153368.77591973243
The Sheltering Sky,10/24/1990,25000000,2075084,-22924916,-171337.18983557547
Psycho,12/4/1998,60000000,37141130,-22858870,-139468.39536302624
Me and Orson Welles,11/25/2009,25000000,2336172,-22663828,-104949.90946936545
Battlefield Earth,5/10/2000,44000000,21400000,-22600000,-131778.42565597667
BloodRayne,10/22/2005,25000000,2405420,-22594580,-114345.04048582996
Son of the Pink Panther,1/1/1993,25000000,2438031,-22561969,-158218.57643758768
Zoom,8/11/2006,35000000,12506188,-22493812,-110317.86169691024
Kundun,12/25/1997,28000000,5684789,-22315211,-138089.176980198
Silence,12/22/2016,46000000,23737523,-22262477,-91675.8716680599
Waterloo,10/26/1970,25000000,3052000,-21948000,-554242.4242424242
特務迷城,1/18/2001,25697387,3849941,-21847446,-124274.43686006825
The Frozen Ground,7/18/2013,27220000,5496951,-21723049,-92882.36551691701
Pan,9/24/2015,150000000,128388320,-21611680,-90867.22895416208
The Death and Life of Bobby Z,7/23/2007,22000000,413454,-21586546,-103822.90048432788
Barney's Version,10/26/2010,30000000,8454301,-21545699,-98470.76594013794
We Are Marshall,12/12/2006,65000000,43545364,-21454636,-106316.33300297323
The Lost City of Z,10/15/2016,30000000,8574339,-21425661,-88635.04585713753
One Night Stand,11/14/1997,24000000,2642983,-21357017,-132241.59133126936
American Outlaws,8/17/2001,35000000,13678913,-21321087,-119579.84856982612
Paranoia,8/14/2013,35000000,13785015,-21214985,-90710.00996250166
Stuck on You,12/10/2003,55000000,33828318,-21171682,-114876.19099294627
Shelter,3/27/2010,22000000,851517,-21148483,-97007.38501621493
Rules Don't Apply,11/23/2016,25000000,3885342,-21114658,-87455.92133602838
FearDotCom,8/9/2002,40000000,18902015,-21097985,-116756.97288323188
Drive Angry,2/24/2011,50000000,28931401,-21068599,-94280.58281535975
The Rum Diary,10/13/2011,45000000,24000000,-21000000,-92747.58083393326
Our Brand Is Crisis,9/11/2015,28000000,7002261,-20997739,-88246.18714408792
The Spirit,12/25/2008,60000000,39031337,-20968663,-99310.24471566663
Tank Girl,3/31/1995,25000000,4064495,-20935505,-137824.2593811718
Astro Boy,10/15/2009,65000000,44091067,-20908933,-96721.35796130024
Babe: Pig in the City,11/25/1998,90000000,69131860,-20868140,-127322.39170225748
Idle Hands,4/30/1999,25000000,4152230,-20847770,-125437.8459687124
The Hunted,3/11/2003,55000000,34234008,-20765992,-112736.11292073833
Domestic Disturbance,10/30/2001,75000000,54249294,-20750706,-116971.28523111611
Amelia,10/22/2009,40000000,19258519,-20741481,-95878.89335737067
Supergirl,11/19/1984,35000000,14296438,-20703562,-196615.0237416904
Duplex,9/26/2003,40000000,19322135,-20677865,-111772.24324324324
Extreme Measures,9/27/1996,38000000,17380126,-20619874,-130258.20593809221
Beyond a Reasonable Doubt,2/5/2009,25000000,4388563,-20611437,-97135.32962915835
Their Finest,4/6/2017,32745300,12173470,-20571830,-84130.10583828173
Unfinished Business,3/5/2015,35000000,14431253,-20568747,-87111.78261808664
DOA: Dead or Alive,9/7/2006,21000000,480314,-20519686,-101132.01577131591
London Boulevard,11/10/2010,25000000,4644108,-20355892,-93032.96572716096
Color of Night,8/19/1994,40000000,19726050,-20273950,-135702.4765729585
Red Dawn,11/21/2012,65000000,44806783,-20193217,-87949.16833985914
The Love Guru,6/20/2008,62000000,41819064,-20180936,-91746.5403429652
Very Bad Things,9/11/1998,30000000,9898412,-20101588,-122870.34229828851
The Beaver,2/11/2011,21000000,970816,-20029184,-90503.25111043834
Le Hussard sur le toit,9/20/1995,35000000,15000000,-20000000,-130123.61743656475
Chaos,1/17/2005,20000000,10289,-19989711,-104221.64233576642
5 Days of War,4/14/2011,20000000,17479,-19982521,-88848.32329951179
Momentum,8/1/2015,20000000,133332,-19866668,-83362.71169371759
Samba,10/15/2014,20000000,151530,-19848470,-83596.08815960713
Dungeons & Dragons,12/8/2000,35000000,15185241,-19814759,-113877.92528735632
Dark Places,3/31/2015,20000000,208588,-19791412,-83649.60122401195
Last Man Standing,9/20/1996,67000000,47267001,-19732999,-124655.71067593177
Assassins,10/6/1995,50000000,30303072,-19696928,-128151.77618737803
The Fountain,9/6/2006,35000000,15304890,-19695110,-97068.06308526367
Rapa Nui,9/9/1994,20000000,305070,-19694930,-131826.8406961178
A Simple Wish,7/11/1997,28000000,8345056,-19654944,-122460.71028037384
The Contract,4/5/2006,25000000,5549200,-19450800,-96530.02481389578
The Fifth Estate,10/11/2013,28000000,8555008,-19444992,-83259.7946443099
Bitter Harvest,2/23/2017,20000000,557241,-19442759,-79748.47929253777
Meet the Deedles,3/27/1998,24000000,4562146,-19437854,-119617.56307692308
Not Fade Away,12/21/2012,20000000,610792,-19389208,-84198.4019454577
