,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
105,jeep grand cherokee laredo,-0.1287,-13.792,10.4696,10.6237,grand cherokee laredo,jeep,35228.12330084554,41097.394322695654
106,jeep grand cherokee limited,-0.1028,-11.501,10.4981,10.7173,grand cherokee limited,jeep,36246.56872715297,45129.88749912637
107,jeep wrangler unlimited rubicon,-0.1167,-12.063,11.1322,11.1056,wrangler unlimited rubicon,jeep,68336.54716299035,66542.7581686113
108,jeep grand cherokee limited 4x4,-0.1396,-9.877,10.8294,10.8417,grand cherokee limited 4x4,jeep,50483.40765559383,51108.18809254537
109,jeep patriot sport,-0.0478,-7.268,9.4106,9.7489,patriot sport,jeep,12217.199097134906,17135.369532104876
110,gmc sierra 1500,-0.1207,-7.502,10.9806,10.8731,sierra 1500,gmc,58723.77797323525,52738.44630737615
111,gmc acadia,-0.1465,-8.813,10.7245,10.5555,acadia,gmc,45455.99526830482,38387.99271635685
112,gmc sierra 2500hd,-0.0993,-6.925,11.2186,11.1765,sierra 2500hd,gmc,74503.39695205253,71431.912338914
113,gmc terrain,-0.1387,-8.483,10.3933,10.2677,terrain,gmc,32640.20207231817,28787.599486060015
114,gmc yukon,-0.1401,-9.11,11.0584,10.9342,yukon,gmc,63474.91071784933,56061.24316004893
115,gmc sierra,-0.1045,-7.785,10.9535,10.9826,sierra,gmc,57153.73377587194,58841.34305507514
116,gmc yukon xl,-0.1581,-11.828,11.2921,11.4492,yukon xl,gmc,80185.6620146706,93826.25501129117
117,gmc sierra 3500hd,-0.1015,-2.866,11.3269,11.0782,sierra 3500hd,gmc,83025.24523587545,64744.23882969152
118,gmc yukon denali,-0.1358,-11.279,11.0672,11.3118,yukon denali,gmc,64035.95490599368,81780.98186322831
119,gmc canyon,-0.1443,-8.457,10.9022,10.6645,canyon,gmc,54295.68300004978,42808.84418246288
120,gmc envoy,-0.178,-8.036,11.0633,9.6212,envoy,gmc,63786.7010428227,15081.136448065776
121,gmc sierra 1500 slt,-0.1277,-7.521,11.0326,10.8517,sierra 1500 slt,gmc,61858.20322574663,51621.833922244536
122,gmc yukon xl denali,-0.1232,-7.72,10.9739,10.7783,yukon xl denali,gmc,58331.64377727858,47968.50842021169
123,gmc sierra 1500 crew cab,-0.1458,-6.135,11.3221,10.7955,sierra 1500 crew cab,gmc,82627.67898108171,48800.70312321293
